action,actionMessage,resultSuccess,resultFail,successRate,successChanges,failChanges
eat,{name}이(가) 정성껏 식사를 준비한다.,{name}은(는) 따뜻한 마음으로 식사를 마쳤다.,{name}은(는) 너무 피곤해서 식사를 거르기로 했다.,0.6,HUNGER:-20~-15|HAPPY:+10~+15|TRUST:+5~+10,HUNGER:-5~-2|MOTIVATION:-5~-2
eat,{name}이(가) 함께 식탁을 차렸다.,{name}은(는) 모두와 즐겁게 식사했다.,{name}은(는) 배고픈 친구에게 양보했다.,0.7,HUNGER:-18~-12|HAPPY:+8~+12|TRUST:+5~+10,HUNGER:-8~-5|HAPPY:-3~-1
eat,{name}이(가) 천천히 맛을 음미한다.,{name}은(는) 마음까지 따뜻해졌다.,{name}은(는) 조금 남겼지만 만족했다.,0.5,HUNGER:-15~-10|HAPPY:+10~+15,HUNGER:-5~-2|STRESS:-3~-1
eat,{name}이(가) 친구에게 도시락을 나누어준다.,{name}은(는) 행복한 식사를 나눴다.,{name}은(는) 조금 부족하지만 미소 지었다.,0.6,HUNGER:-15~-10|TRUST:+8~+12|HAPPY:+5~+8,HUNGER:-5~-3|HAPPY:+2~+4
eat,{name}이(가) 반찬을 정갈히 담는다.,{name}은(는) 건강한 기운이 돈다.,{name}은(는) 다 먹지 못했지만 감사했다.,0.7,HUNGER:-20~-10|HAPPY:+8~+12|MOTIVATION:+5~+10,HUNGER:-5~-3|HAPPY:+2~+4
eat,{name}이(가) 식사 전 감사 인사를 한다.,{name}은(는) 따뜻한 마음으로 식사했다.,{name}은(는) 감사 인사만 하고 식사를 거르기로 했다.,0.5,HUNGER:-18~-12|TRUST:+5~+10|HAPPY:+5~+8,HUNGER:-8~-5|MOTIVATION:-3~-1
eat,{name}이(가) 누군가에게 음식을 나눠준다.,{name}은(는) 함께 식사해 행복했다.,{name}은(는) 음식이 부족했지만 마음은 따뜻했다.,0.6,HUNGER:-18~-12|HAPPY:+8~+12|TRUST:+10~+15,HUNGER:-5~-3|STRESS:-2~-1
eat,{name}이(가) 조용히 식사한다.,{name}은(는) 평화로운 시간을 보냈다.,{name}은(는) 식사 중에 잠시 멍했다.,0.7,HUNGER:-15~-10|HAPPY:+5~+10,HUNGER:-3~-1|MOTIVATION:-3~-1
eat,{name}이(가) 따뜻한 죽을 끓였다.,{name}은(는) 속이 한결 편안해졌다.,{name}은(는) 냄비를 태웠지만 마음은 따뜻했다.,0.5,HUNGER:-20~-15|HAPPY:+10~+15,HUNGER:-5~-3|STRESS:+2~+4
eat,{name}이(가) 식탁을 정리한다.,{name}은(는) 마음이 정돈된 듯하다.,{name}은(는) 남은 밥을 냉장고에 넣었다.,0.6,HUNGER:-10~-5|HAPPY:+5~+8|MOTIVATION:+5~+8,HUNGER:-3~-1|HAPPY:+2~+3
rest,{name}이(가) 조용히 숨을 고른다.,{name}은(는) 마음이 평온해졌다.,{name}은(는) 잠깐 멍해졌다.,0.7,HAPPY:+10~+15|STRESS:-10~-5|MOTIVATION:+5~+8,HAPPY:-3~-1|STRESS:+3~+5
rest,{name}이(가) 커튼을 치고 방 안을 정리한다.,{name}은(는) 편안한 분위기에 미소 지었다.,{name}은(는) 잠시 멍했다.,0.5,HAPPY:+5~+10|STRESS:-8~-3,HAPPY:-3~-1|STRESS:+4~+6
rest,{name}이(가) 눈을 감는다.,{name}은(는) 평화로운 꿈을 꿨다.,{name}은(는) 깊이 잠들진 못했다.,0.6,HAPPY:+8~+12|STRESS:-6~-2,HAPPY:-3~-1|STRESS:+4~+6
rest,{name}이(가) 차를 마시며 쉰다.,{name}은(는) 따뜻한 기분이 들었다.,{name}은(는) 차를 식혀버렸다.,0.7,HAPPY:+8~+10|STRESS:-7~-3,HAPPY:-2~-1|STRESS:+3~+5
